ipd_id,id,name,is_active,created_at,updated_at,ipdb_link,year,manufacturer,machine_group_id,ipdb_id,opdb_id,rating,flippers,units
1089,2295,Gridiron,,2015-03-06T22:52:06.370-08:00,2018-07-16T09:00:42.008-07:00,http://ipdb.org/machine.cgi?id=1089,1977,Gottlieb,,1089.0,G41E2-ML85X,8.0,4.0,1025.0
1094,1269,Gulfstream,False,2012-04-09T13:34:28.000-07:00,2018-07-16T09:00:41.882-07:00,http://ipdb.org/machine.cgi?id=1094,1973,Williams,,1094.0,G4EJB-MJdE1,8.0,2.0,4175.0
1100,700,Guns 'N Roses,False,,2018-07-16T09:00:53.218-07:00,http://ipdb.org/machine.cgi?id=1100,1994,Data East,,1100.0,GrPKV-MyNoP,8.0,3.0,3000.0
1103,2774,Guys Dolls,,2017-01-13T12:56:42.362-08:00,2018-07-16T09:00:52.415-07:00,http://ipdb.org/machine.cgi?id=1103,1953,Gottlieb,,1103.0,G4N8B-M852k,,,1500.0
1112,928,Hang Glider,False,,2018-07-16T09:00:53.857-07:00,http://ipdb.org/machine.cgi?id=1112,1976,Bally,,1112.0,GRKpw-M5R0E,8.0,2.0,2325.0
1114,1601,Happy Clown,False,2013-05-24T05:09:28.706-07:00,2018-07-16T09:00:43.618-07:00,http://www.ipdb.org/machine.cgi?id=1114,1964,Gottlieb,,1114.0,G5WbJ-MQVn8,8.0,2.0,3235.0
1122,933,Hardbody,False,,2018-07-16T09:00:51.622-07:00,http://ipdb.org/machine.cgi?id=1122,1987,Bally,,1122.0,GRbX3-M7ZK3,7.0,4.0,2000.0
1125,834,Harlem Globetrotters On Tour,False,,2018-07-16T09:00:52.239-07:00,http://ipdb.org/machine.cgi?id=1125,1978,Bally,,1125.0,GRnwQ-M9R5d,8.0,3.0,14550.0
1126,1773,Harley-Davidson,False,2013-09-17T14:37:01.510-07:00,2018-07-16T09:00:47.195-07:00,http://ipdb.org/machine.cgi?id=1126,1991,Bally,,1126.0,Gr2L0-MDz1W,6.0,2.0,2187.0
1128,2993,Harvest,False,2018-06-11T10:00:10.493-07:00,2018-07-16T09:00:53.565-07:00,http://www.ipdb.org/machine.cgi?id=1128,1964,Bally,,1128.0,GR90K-MdEl1,,2.0,1075.0
1133,671,Haunted House,False,,2018-07-16T09:00:49.045-07:00,http://ipdb.org/machine.cgi?id=1133,1982,Gottlieb,,1133.0,G5BP6-MJK4Z,8.0,8.0,6835.0
1138,2355,Hawaiian Beauty,,2015-06-10T19:03:48.466-07:00,2018-07-16T09:00:45.193-07:00,http://ipdb.org/machine.cgi?id=1138,1954,Gottlieb,,1138.0,GRzLZ-MLB5d,7.0,2.0,900.0
1142,1555,Hayburners,False,2013-04-06T09:08:06.919-07:00,2018-07-16T09:00:41.907-07:00,http://ipdb.org/machine.cgi?id=1142,1951,Williams,,1142.0,GRojj-MQwN3,,2.0,
1143,1277,Hayburners II,False,2012-04-12T21:27:32.000-07:00,2018-07-16T09:00:43.545-07:00,http://ipdb.org/machine.cgi?id=1143,1968,Williams,,1143.0,G48Xw-MJ4XY,7.0,4.0,
1145,2366,Hearts and Spades,,2015-06-10T20:37:05.535-07:00,2018-07-16T09:00:50.417-07:00,http://ipdb.org/machine.cgi?id=1145,1969,Gottlieb,,1145.0,G4ZQv-MeP8n,8.0,2.0,615.0
1148,947,Heat Wave,False,,2018-07-16T09:00:42.660-07:00,http://ipdb.org/machine.cgi?id=1148,1964,Williams,,1148.0,G5vDW-MJw9y,8.0,2.0,1800.0
1149,1971,Heavy Hitter,False,2014-02-26T11:30:03.063-08:00,2014-02-27T09:14:33.039-08:00,http://ipdb.org/machine.cgi?id=1149,1948,Bally,,1149.0,,,,
1150,2137,Heavy Metal Meltdown,False,2014-07-22T15:06:16.419-07:00,2018-07-16T09:00:46.858-07:00,http://ipdb.org/machine.cgi?id=1150,1987,Bally,,1150.0,GRo3e-MQ7OW,7.0,2.0,1600.0
1155,1195,Hercules,False,2012-01-05T21:35:45.000-08:00,2018-07-16T09:00:53.743-07:00,http://ipdb.org/machine.cgi?id=1155,1979,Atari,,1155.0,G4NOx-MyNYZ,5.0,2.0,
1157,2917,Hi-Deal,,2018-03-17T19:46:06.056-07:00,2018-07-16T09:00:51.153-07:00,http://ipdb.org/machine.cgi?id=1157,1975,Bally,,1157.0,G4joK-M0o8O,7.0,2.0,2085.0
1160,2864,Hi-Score,,2017-09-24T23:16:54.242-07:00,2018-07-16T09:00:46.672-07:00,http://www.ipdb.org/machine.cgi?id=1160,1967,Gottlieb,,1160.0,GR6XE-MQ9eE,8.0,4.0,1900.0
1161,2201,Hi-Score Pool,,2014-10-01T19:16:20.736-07:00,2018-07-16T09:00:51.719-07:00,http://ipdb.org/machine.cgi?id=1161,1971,Chicago Coin,,1161.0,GrPZj-MOEY7,6.0,2.0,
1165,3134,Hi-Diver,False,2019-04-13T16:01:52.353-07:00,2019-04-13T19:32:24.534-07:00,http://www.ipdb.org/machine.cgi?id=1165,1959,Gottlieb,,1165.0,G5DEb-MLeX6,7.0,4.0,1650.0
1173,795,High Hand,False,,2018-07-16T09:00:53.637-07:00,http://ipdb.org/machine.cgi?id=1173,1973,Gottlieb,,1173.0,GRYbJ-MnKex,8.0,2.0,4950.0
1176,672,High Speed,False,,2018-07-16T09:00:44.817-07:00,http://ipdb.org/machine.cgi?id=1176,1986,Williams,,1176.0,GRvzd-MLxV8,8.0,3.0,17080.0
1193,2591,Hit and Run Base-Ball,,2016-04-18T05:00:52.538-07:00,2016-04-19T13:55:35.529-07:00,http://ipdb.org/machine.cgi?id=1193,1970,Williams,,1193.0,,8.0,,
1195,2336,Hit 'N' Run,,2015-05-21T21:11:41.594-07:00,2018-07-16T09:00:46.261-07:00,http://ipdb.org/machine.cgi?id=1195,1952,Gottlieb,,1195.0,GrPVx-MQZP5,,2.0,1400.0
1201,1039,Hit the Deck,False,,2018-07-16T09:00:47.771-07:00,http://ipdb.org/machine.cgi?id=1201,1978,Gottlieb,,1201.0,GRoWo-MDzOZ,,2.0,375.0
1206,794,Hokus Pokus,False,,2018-07-16T09:00:42.037-07:00,http://ipdb.org/machine.cgi?id=1206,1975,Bally,,1206.0,GRwBN-MJ5ln,8.0,2.0,3086.0
1214,1183,Hollywood,False,2011-12-12T19:07:41.000-08:00,2018-07-16T09:00:44.548-07:00,http://ipdb.org/machine.cgi?id=1214,1976,Chicago Coin,,1214.0,Grj7K-MQj8k,6.0,2.0,
1219,917,Hollywood Heat,False,,2018-07-16T09:00:50.123-07:00,http://ipdb.org/machine.cgi?id=1219,1986,Gottlieb,,1219.0,G5B9Z-MLBjW,7.0,4.0,3400.0
1224,2505,Home Run,False,2015-12-18T21:25:26.794-08:00,2018-07-16T09:00:48.111-07:00,https://www.ipdb.org/machine.cgi?id=1224,1971,Gottlieb,,1224.0,GR612-MLyRe,8.0,,580.0
1230,973,Honey,False,,2018-07-16T09:00:52.834-07:00,http://ipdb.org/machine.cgi?id=1230,1972,Williams,,1230.0,G5vO1-MKNYE,7.0,2.0,6301.0
1233,891,Hook,False,,2018-07-16T09:00:45.527-07:00,http://ipdb.org/machine.cgi?id=1233,1992,Data East,,1233.0,G42EQ-MJYpj,8.0,2.0,6705.0
1235,2504,Hoops,,2015-12-16T18:52:28.142-08:00,2018-07-16T09:00:48.810-07:00,http://ipdb.org/machine.cgi?id=1235,1991,Gottlieb,,1235.0,G4j2z-MDb0Z,7.0,,879.0
1243,1868,Hotdoggin',False,2013-11-24T22:17:56.939-08:00,2018-07-16T09:00:45.539-07:00,http://ipdb.org/machine.cgi?id=1243,1979,Bally,,1243.0,GrENE-MD0dz,8.0,3.0,2050.0
1244,2839,Hot Hand,,2017-07-07T19:19:42.729-07:00,2018-07-16T09:00:45.910-07:00,http://ipdb.org/machine.cgi?id=1244,1979,Stern,,1244.0,GRvNk-MQkro,7.0,2.0,3793.0
1245,974,Hot Line,False,,2018-07-16T09:00:43.434-07:00,http://ipdb.org/machine.cgi?id=1245,1966,Williams,,1245.0,GrZex-MLe41,8.0,2.0,3651.0
1246,860,Hot-Rods,False,,2013-04-16T12:57:01.920-07:00,http://ipdb.org/machine.cgi?id=1246,1949,Bally,,1246.0,,,,
1247,2315,Hot Shot,,2015-04-03T09:03:21.102-07:00,2018-07-16T09:00:46.275-07:00,http://ipdb.org/machine.cgi?id=1247,1973,Gottlieb,,1247.0,G5n1Q-MLvdY,7.0,2.0,9000.0
